Fic number,Character name,Times mentioned
0,",",3
0,"!Whatapleasantsurprise!Andunexpectedtoo.Veryunexpected,isn’tthatright,Raph?’",1
0,exclaimedonaveryloudtone.Evenwavedherhandsaboutsoastomakesureshegatheredalloftheattentionshecould.Thepeopleatthetablesaroundeyedthethreewarily.‘,1
0,",yeah.Quiteunexpected.Wewerejustheremindingoutownbusinessandwejusthappenedtorunintoyou._Well_,youranintous,’",1
0,"announcedonanequallyloudtone.‘WhattheHellisthis?’‘Ohhowwonderfultorunintoeachotherlikethat.Completelyunscriptedtoo,",1
0,"spokeloudlysomemoreasshepushedbackachairandpointedatitforGabrieltositdown,allsmiles.Heseemedreluctant.Sheloweredhersunglassesjustalittleandlookedfromhimtothechairinaverydefinitivemanner,lipspursed.Herolledhiseyesandsatdown.‘Nowlistenhere,youfucker,’",1
0,"whisperedthroughgrittedteethasheleanedinoverthetable,‘Idon’tlikeyouandyoudon’tlikemeandthat’smorethanfine,but",1
0,seemstohavegottenquitegreedywithpowerbackUpstairs.Anythingthatcomestomindsothatwecanstopher?’‘,1
0,",youguys?Comeon-’",1
0,snortedandcontinuedspeakingonanormaltoneofvoiceonlytobeshushedby,1
0,"smurderousexpression._Hecoulddomurderousevenwhilesportingsunglasses_,thebastard.Atthesametime",1
0,"announcedloudlythat‘Ohit’ssogoodandnotatallplannedtogettomeetupwithyou,Gabriel!’Andthenthrewhimanotherpoignantlookovertherimofherownglasses.TheywerebothgivinghimaLook™._Ah,soimpromptumeetingitwasthen_.‘Whatisit?’hehissedatRaphael.HeletJophieloffthehookforthetimebeing.HelikedJophiel.Shehadthesameimpeccablestylethathedid._Evenmoreimpeccablethanhis_,asmallvoiceventured.Hedidn’tlistentothatvoice._BeautyofGod,indeed_.Raphael,ontheotherhand,well,",1
0,"wasacunt.‘Whatisit–hesaysaftermakingoutwithademoninaback-alley.IttookallthefavoursPravuilmanagedtoscoreovertheyearsforhertobeabletodeletethatfile.’Gabrielstared._Oh,shit_.‘Yeah.PeopleUpstairsaretryingtohelpyououtandyou’restillbeinganabsolutewankeraboutit.’‘Youlistenhere-’‘No,youlisten-’‘Shutthefuckup,thebothofyou!’",1
0,managedthroughgrittedteeth.Theybothstaredather.‘Wecamedownhereforareason.,1
0,"wantstorestructureourwholelot.TherehavebeenlotsoftalkofdowngradingSeraphimandthereareafewfactionsthatalreadytalkaboutopenrebellion.Oneofthemwascaughtredhandedand_well_…theyhaven’ttreatedthemverywell.Youknowhowshealwaysgetsherwaywhensheputshermindtosomething.IftheFallisanyindication,atleast.Canyouhelpoutornot?’‘She’sdoingwhatexactly?",1
0,"can’tpossibly-’‘Shecan’t,canshe?ExplainthattothetenFallenangelswhosewingshavebeencutofflastweek.’",1
